task,n_rows,n_x,n_y,sym_ratio,missing_density,eff_rank_x,cca_1,linear_r2,y_corr_mean,fdc,smoothness,d2h_var,d2h_skew,d2h_tail_gap,nb_auc_med,nb_auc_iqr,landmark_10_med,landmark_10_iqr,labels_used_total
Health-Commits0005,10000,5,3,0.2,0.0,5.882224344557488,0.9362916421519606,0.5420041873565448,-0.20044871337108902,-0.40571974388722093,0.28194806994807,0.015084960189527829,-0.48535876971265574,0.9118393981166909,0.6988398630658046,0.13493723849372385,55.0,49.0,46
Health-Commits0006,10000,5,3,0.2,0.0,5.882224344557488,0.9723921954752878,0.7907222530680083,-0.35456299885682246,-0.7039175931181313,0.43101169101169107,0.06430539792305394,0.23316125375803107,0.3702281668826119,0.7601749714720426,0.0823744769874476,63.5,9.25,46
Health-Commits0007,10000,5,3,0.2,0.0,5.882224344557488,0.8703494608939156,0.6186720286597728,-0.16117360341492976,0.5324803413970333,0.3710376721507852,0.02114873347125664,-0.11010908433754961,0.9093614082236748,0.7999239254469379,0.12723468999619625,87.0,54.0,46
Health-Commits0008,10000,5,3,0.2,0.0,5.882224344557488,0.6089804174443421,0.2690306443393403,0.05569656537547358,-0.30616587793086975,0.15790438990438993,0.020748371170875548,0.012358849545373536,3.1883568116917687,0.6969855458349181,0.1952976416888551,55.0,7.25,46
Health-Commits0009,10000,5,3,0.2,0.0,5.882224344557488,0.8299203191223092,0.6890977596922715,-0.33467885006798287,0.399534397634973,0.29081631881631886,0.05609825866430352,0.4013251091674691,0.6301025879002383,0.7603651578546976,0.10405572461011792,100.0,0.0,46
Health-Commits0010,10000,5,3,0.2,0.0,5.882224344557488,0.7845571332036716,0.6430372694350386,-0.17313747127005177,0.576618937414045,0.3126822366822367,0.039554619009423246,-0.18362209200869645,0.9135077682453869,0.8102890833016356,0.12257512362114864,76.5,32.25,46
Health-Commits0011,10000,5,3,0.2,0.0,5.882224344557488,0.9650934768807431,0.6465888690486457,-0.3151694774772166,0.5915778964046878,0.3788016962084467,0.0739895333170681,-1.3844310604481846,8.08283860219582,0.8307816660327121,0.06373621148725761,100.0,0.0,46
LLVM,1024,10,1,1.0,0.0,9.999999999999998,0.8829224275625385,0.7697565509155144,nan,0.5663807623016123,0.23501724986035938,0.09186353757731812,-0.08848450561858065,0.69277259386342,0.9261363636363636,0.07344760365157854,100.0,0.0,46
Life_Expectancy_Data,2938,20,2,0.1,0.0,190.36956844393686,0.9583050471059541,0.92976251847698,0.7962070529508408,0.7837612891642677,0.4715137684372581,0.0725091143886472,0.21727686826942602,0.7017705459245733,0.8797071129707112,0.04547831875237729,100.0,0.0,46
Loan,20000,31,5,0.1935483870967742,0.0,19977.07902431699,nan,0.7893203923591561,-0.032868015642615794,0.38623133692534767,0.12284029484029482,0.016142082193510703,-0.4389775843547892,1.040009786961215,0.6889501711677444,0.1326074553062001,66.0,18.25,46
Marketing_Analytics,2205,31,8,0.0,0.0,16.69579076265626,0.9133410208980002,0.40401765055287886,0.09328808433884407,0.46194058527298854,0.17631944031944033,0.012015896410046042,-0.43660047643200367,1.0127295768505629,0.564592050209205,0.07947413465195896,50.0,25.0,46
Medical_Data_and_Hospital_Readmissions,25000,64,1,0.875,0.0,51.510555278960716,0.2820238134658494,0.0745419614319687,nan,-0.007925921933104386,0.05819047355174581,0.11838110707240175,0.17506686029122237,0.0,0.5472613160897679,0.07531380753138073,100.0,0.0,46
PostgreSQL,19008,9,1,0.6666666666666666,0.0,7.627492990030086,0.4666408036999798,0.3082546456051414,nan,0.3547020703375518,0.20330946301553088,0.04379696566690404,2.112593931118996,0.4367775714033435,0.6956780144541651,0.1165367059718524,100.0,0.0,46
SQL_AllMeasurements,4653,38,1,1.0,0.0,16.202152375334897,0.394177351483809,0.13365341999105337,nan,0.07715066087423836,-0.0441622207091278,0.0876099308070419,0.17474474397571235,0.6585675266411429,0.5264121338912133,0.15455020920502088,100.0,0.0,46
SS-A,1343,3,2,0.0,0.0,2.9684803024588717,0.9853765652954504,0.5785236296719061,-0.6030946136106914,0.7662929211716847,0.4254702204050951,0.03286277951953188,1.3867863395750828,0.45306016142309574,0.879754659566375,0.09440376569037656,100.0,0.0,46
