task_id,dir,budget,winner,objective,input_shape,rows,n_decisions,coverage,x_dup_rate,smac_on_table,drr,R,I,drr_spread
config__SS-P,config,50,smac,multi,binary/SAT,1023,11,-0.42,0.2493,0.74,0.7543267940669875,11,2.7024052652631365,
config__SS-Q,config,50,tie,multi,small-numeric,2736,13,-3.34,0.0,0.06,0.8168715405604823,13,2.380669972713731,
config__SS-R,config,50,tie,multi,small-numeric,3008,14,-3.62,0.0,0.1,0.8331491766231496,14,2.3359115272759063,
config__SS-S,config,50,tie,multi,small-numeric,3840,6,0.0,0.0,1.0,0.9215931795768854,6,0.4704409225386877,
config__SS-T,config,50,smac,multi,small-numeric,5184,12,-3.42,0.0,0.21000000000000002,0.7868136845159132,12,2.558235785809042,0.0015888906179848
config__SS-U,config,50,tie,multi,binary/SAT,4608,21,-4.83,0.0,0.04,0.8456492854515496,21,3.241365005517457,
config__SS-V,config,50,smac,multi,binary/SAT,6840,16,-6.17,0.0,0.01,0.9086032425654068,16,1.46234811895349,0.0006875368765394
config__SS-W,config,50,smac,multi,binary/SAT,65536,16,0.0,0.0,1.0,0.7384150483704176,16,4.185359226073318,0.0034198401532057
config__SS-X,config,50,smac,multi,small-numeric,86058,11,-2.93,0.0,0.08,0.8163598725443566,11,2.020041402012078,0.0037514424222017
config__X264_AllMeasurements,config,50,tie,single,binary/SAT,1152,16,-2.83,0.0,0.18,0.825008006641479,16,2.7998718937363365,
config__rs-6d-c3_obj1,config,50,tie,single,small-numeric,3840,6,0.0,0.0,1.0,0.9215931795768854,6,0.4704409225386877,
config__rs-6d-c3_obj2,config,50,tie,single,small-numeric,3840,6,0.0,0.0,1.0,0.9215931795768854,6,0.4704409225386877,
config__sol-6d-c2-obj1,config,50,tie,single,small-numeric,2866,6,-0.01,0.0,1.0,0.9195180571856272,6,0.4828916568862371,
config__wc+rs-3d-c4-obj1,config,50,tie,single,small-numeric,196,3,0.0,0.0,1.0,0.90416848097582,3,0.2874945570725399,
config__wc+sol-3d-c4-obj1,config,50,tie,single,small-numeric,196,3,0.0,0.0,1.0,0.90416848097582,3,0.2874945570725399,
config__wc+wc-3d-c4-obj1,config,50,tie,single,small-numeric,196,3,0.0,0.0,1.0,0.90416848097582,3,0.2874945570725399,
config__wc-6d-c1-obj1,config,50,smac,single,small-numeric,2880,6,0.0,0.0,1.0,0.8751921062558012,6,0.7488473624651928,
financial_data__BankChurners,financial_data,50,tie,multi,large-numeric,10127,19,-92.45,0.0,0.0,0.9493155801270514,19,0.9630039775860224,0.000345566373642
